Room heating plant sens. load,Room hum. plant load,System air heating load,Aux vent heating load,DHW heating demand,DHW flow rate,Solar heating system input,Solar htg system tank temp,DHW solar htg system panel temp,DHW solar htg system flow rate,DHW solar heat input,Boiler load,Boiler space heating load,Boiler space cooling load,Boiler space cond'g load,Boiler DHW load,CH[C]P heat contribution,Room cooling plant sens. load,Room dehum. plant load,System air sens. clg. load,System air lat. clg. load,Aux vent sens. clg. load,Aux vent lat. clg. load,Chiller load,System air flow rate,System air heat recovery temp,System air supply temperature,System air supply moisture content,Aux vent flow rate,Boiler process load,Chiller process load,Process heat removal,Process heat available for recovery,Process heat recovered,Process heat recovery heat pump
6019.194,0.0,0.0,0.0,0.0,,0.0,,,,,6696.3535,6696.3535,0.0,6696.3535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.65000004,-0.65000004,0.0032202872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5759.4087,0.0,0.0,0.0,0.0,,0.0,,,,,6407.342,6407.342,0.0,6407.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3,0.0033553166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5228.5815,0.0,0.0,0.0,0.0,,0.0,,,,,5816.7964,5816.7964,0.0,5816.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0033355255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4506.8125,0.0,0.0,0.0,0.0,,0.0,,,,,5013.8286,5013.8286,0.0,5013.8286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000001,0.8000001,0.0032802732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3673.5486,0.0,0.0,0.0,0.0,,0.0,,,,,4086.8228,4086.8228,0.0,4086.8228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5000002,1.5000002,0.003295837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3298.7874,0.0,0.0,0.0,0.0,,0.0,,,,,3669.901,3669.901,0.0,3669.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0500002,2.0500002,0.0032755584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3707.6,0.0,0.0,0.0,0.0,,0.0,,,,,4124.705,4124.705,0.0,4124.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2500002,2.2500002,0.0032621548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4497.5073,0.0,0.0,0.0,0.0,,0.0,,,,,5003.4766,5003.4766,0.0,5003.4766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.003283178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5155.4043,0.0,0.0,0.0,0.0,,0.0,,,,,5735.3867,5735.3867,0.0,5735.3867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1000001,2.1000001,0.0032545344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5570.666,0.0,0.0,0.0,0.0,,0.0,,,,,6197.3657,6197.3657,0.0,6197.3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999,1.6999999,0.003246756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5711.408,0.0,0.0,0.0,0.0,,0.0,,,,,6353.9414,6353.9414,0.0,6353.9414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3000002,1.3000002,0.003274896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5789.9272,0.0,0.0,0.0,0.0,,0.0,,,,,6441.295,6441.295,0.0,6441.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000002,1.2000002,0.0032820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5848.2085,0.0,0.0,0.0,0.0,,0.0,,,,,6506.1313,6506.1313,0.0,6506.1313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1500001,1.1500001,0.0033030766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5887.078,0.0,0.0,0.0,0.0,,0.0,,,,,6549.374,6549.374,0.0,6549.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0033383293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
